Date,Price,volume
2020-05-05 15:45:00+00:00,8873.94447912,44048717347.0
2020-05-05 16:00:00+00:00,8895.09288498,43709636611.0
2020-05-05 16:15:00+00:00,8900.62552671,43694951676.0
2020-05-05 16:30:00+00:00,8887.91878136,43597839034.0
2020-05-05 16:45:00+00:00,8900.09536598,43575994606.0
2020-05-05 17:00:00+00:00,8904.49000288,43519904211.0
2020-05-05 17:15:00+00:00,8908.2995783,42643604550.0
2020-05-05 17:30:00+00:00,8917.61982353,43567537969.0
2020-05-05 17:45:00+00:00,8900.12642772,43472641102.0
2020-05-05 18:00:00+00:00,8896.60591031,43381713216.0
2020-05-05 18:15:00+00:00,8897.70301237,43300528539.0
2020-05-05 18:30:00+00:00,8921.98689177,43394544220.0
2020-05-05 18:45:00+00:00,8917.16187811,43385410604.0
2020-05-05 19:00:00+00:00,8939.04653146,43390559678.0
2020-05-05 19:15:00+00:00,8935.48374676,43375634480.0
2020-05-05 19:30:00+00:00,8911.5895448,43261549841.0
2020-05-05 19:45:00+00:00,8937.75828325,43371000064.0
2020-05-05 20:00:00+00:00,8949.6809729,43337329349.0
2020-05-05 20:15:00+00:00,8963.26416501,43416287743.0
2020-05-05 20:30:00+00:00,8961.78722271,43314617295.0
2020-05-05 20:45:00+00:00,8970.80194266,43255292613.0
2020-05-05 21:00:00+00:00,8954.06243374,43088218017.0
2020-05-05 21:15:00+00:00,8973.89765098,43165611435.0
2020-05-05 21:30:00+00:00,8969.83826812,43218659177.0
2020-05-05 21:45:00+00:00,8978.77021492,43279964540.0
2020-05-05 22:00:00+00:00,8957.41243645,43115140645.0
2020-05-05 22:15:00+00:00,8979.33822751,43237503681.0
2020-05-05 22:30:00+00:00,8980.44769146,43164241488.0
2020-05-05 22:45:00+00:00,8984.48771438,43245325312.0
2020-05-05 23:00:00+00:00,8978.51872123,43074942472.0
2020-05-05 23:15:00+00:00,8969.78084763,42164831439.0
2020-05-05 23:30:00+00:00,8965.82601391,43010585343.0
2020-05-05 23:45:00+00:00,9003.07017834,43148462663.0
2020-05-06 00:00:00+00:00,8978.03126081,43166811406.0
2020-05-06 00:15:00+00:00,8977.56603199,43169111849.0
2020-05-06 00:30:00+00:00,8984.46375312,43223125007.0
2020-05-06 00:45:00+00:00,8993.93147355,43423203921.0
2020-05-06 01:00:00+00:00,8974.94163955,43202208286.0
2020-05-06 01:15:00+00:00,8984.03128677,42251936588.0
2020-05-06 01:30:00+00:00,8981.18196684,43182279225.0
2020-05-06 01:45:00+00:00,8990.38505318,43237834195.0
2020-05-06 02:00:00+00:00,8982.0569174,43125331857.0
2020-05-06 02:15:00+00:00,8990.10712717,43255132697.0
2020-05-06 02:30:00+00:00,8980.390639,43153434721.0
2020-05-06 02:45:00+00:00,8980.75391148,43135386640.0
2020-05-06 03:00:00+00:00,8982.53718819,43074875907.0
2020-05-06 03:15:00+00:00,8995.9525194,43207261167.0
2020-05-06 03:30:00+00:00,8998.80561048,43331415428.0
2020-05-06 03:45:00+00:00,8999.59598021,43978127422.0
2020-05-06 04:00:00+00:00,9016.6233665,43981502423.0
2020-05-06 04:15:00+00:00,9027.1220032,44025048194.0
2020-05-06 04:30:00+00:00,9030.03614047,44062776379.0
2020-05-06 04:45:00+00:00,9007.46530468,43432121565.0
2020-05-06 05:00:00+00:00,9020.78373075,42897623547.0
2020-05-06 05:15:00+00:00,9029.98645756,42732129486.0
2020-05-06 05:30:00+00:00,9013.15907391,42538395565.0
2020-05-06 05:45:00+00:00,9007.71572841,42396864788.0
2020-05-06 06:00:00+00:00,9026.85613981,42314086787.0
2020-05-06 06:15:00+00:00,9032.61838488,42258798528.0
2020-05-06 06:30:00+00:00,9021.06179971,42193159218.0
2020-05-06 06:45:00+00:00,9020.18482114,42172322593.0
2020-05-06 07:00:00+00:00,9043.82110806,42160073639.0
2020-05-06 07:15:00+00:00,9036.93592216,42056488952.0
